title,price,img,href,city,state
Cisco 2600 Router,$25.00,https://images.offerup.com/6qYjgUFg_zld_Cjd9ZyIiEn3tfY=/300x213/6365/636526c56989460a955fbf479049df7b.jpg,/item/detail/562500887/,North Andover, MA
Xbox One S 500g,$175.00,https://images.offerup.com/AsHwptPHTEXckx1a2MQxztRTdUo=/300x533/64f1/64f1ebacdee64ff0af10164a22174484.jpg,/item/detail/562492684/,Woburn, MA
Samsung 128GB micro SD card new,$35.00,https://images.offerup.com/Nx7VFW6MCB5TuWxzmfPmzHWUAL0=/300x533/8d71/8d71c4d9bc1b48e3bb1ef8b97609116c.jpg,/item/detail/562474253/,Boston, MA
Monitor Sale,$50.00,https://images.offerup.com/kNtGUnaqQfNZMr4wv8UltK_oKA4=/300x168/106a/106aaaf2d6cd4c709090c9fe81acf0f9.jpg,/item/detail/562453987/,Everett, MA
Plinte new.,$30.00,https://images.offerup.com/S7afDHdlGGOtBAqZc8vBRl5_S3o=/300x400/3918/39180178d784465cb7f65b143899580b.jpg,/item/detail/562437508/,Winter Hill, MA
bluetooth earphones,$20.00,https://images.offerup.com/iScuYKzx7AKoE5tvvlCAl5YUS2g=/300x400/a4d8/a4d8476ff1da4e54baf94ae9416188fc.jpg,/item/detail/562419655/,Medford, MA
iPad Air 2 Cellular and wifi,$255.00,https://images.offerup.com/Q_JFDeQIL8HA_1gaVJSVcsXZBCw=/300x400/494e/494ee08a74a74d49bc7b3a65c42dc0d2.jpg,/item/detail/562418378/,Cambridge, MA
Bluetooth pillow,$25.00,https://images.offerup.com/ZDy7gGkpc-E0MRdLydSUfZ_IA90=/300x225/200c/200c2ca6754a421cb2d12d59e6b02f73.jpg,/item/detail/562383537/,Somerville, MA
Sony iPod clock and radio,$20.00,https://images.offerup.com/VQn4-kGiHcP3qWYHnu1hp3A4AiI=/300x225/32e0/32e04830871b45fdab3739b567affff5.jpg,/item/detail/562378043/,Gloucester, MA
Hp Envy 5661,$100.00,https://images.offerup.com/uj6MH7DiHYxcMss_N1QFnjPy1eE=/300x400/1ace/1ace2aac325a4871b3b3a123164b2e9f.jpg,/item/detail/562366092/,Burrillville, RI
Latitude D620 core duo 1.83ghz,$120.00,https://images.offerup.com/YcdPMQy5b8aYVkT27yX-ATYO5iM=/237x213/014a/014a3a680b62466a8ef302815a80230b.jpg,/item/detail/562363403/,Billerica, MA
Apple iPad 4th generation 9.7 inch ...,$350.00,https://images.offerup.com/Wwb3US93gNYrJ6TSmVl664BHd9Y=/300x400/4deb/4deb6332a3c143d8bcc1b970ee6e652a.jpg,/item/detail/562351894/,Boston, MA
Apple Watch 38MM Nike Series 3,$300.00,https://images.offerup.com/VTMmWxWxouxnbZ0NzjOQSTpdlO4=/300x225/fa5b/fa5b4de1075e43309492f5d38018f6b5.jpg,/item/detail/562339926/,Billerica, MA
Infinitive power bank,$15.00,https://images.offerup.com/446xwjTmrEN2XzV4qHEYiC51v0M=/300x400/8f12/8f12817795c749b690548c48b430487f.jpg,/item/detail/562538681/,Altamonte Springs, FL
George Quartz Watch,$50.00,https://images.offerup.com/FHYyR-Vlsb2Hu-fYTgFTQWB9VKQ=/300x400/3197/319788cd58d743fe9884eab90adabc66.jpg,/item/detail/562337428/,Boston, MA
